TEAM_ID,TEAM_NAME,GP,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,SEASON_START_YEAR,TEAM_SUCCESS_GROUP,TWO_PM,TWO_PA,TWO_PCT,FG3A_RATE,FT_RATE,OREB_SHARE,ASSISTED_FG_RATE,BALL_CONTROL,BLOCK_ADVANTAGE,FOUL_BALANCE
1610612741,Chicago Bulls,82,0.5,48.2,38.6,87.1,0.444,7.6,22.3,0.34,18.0,22.5,0.798,12.2,34.1,46.3,22.6,13.6,7.8,4.8,4.6,17.7,18.8,102.9,0.4,2016-17,2016,Average,31.0,64.8,0.478,0.256,0.258,0.263,0.585,9.000000000000002,0.20000000000000018,1.1000000000000014
1610612739,Cleveland Cavaliers,82,0.622,48.5,39.9,84.9,0.47,13.0,33.9,0.384,17.5,23.3,0.748,9.3,34.4,43.7,22.7,13.7,6.6,4.0,4.3,18.1,20.6,110.3,3.2,2016-17,2016,Successful,26.9,51.00000000000001,0.527,0.399,0.274,0.213,0.569,9.0,-0.2999999999999998,2.5
1610612742,Dallas Mavericks,82,0.402,48.2,36.2,82.3,0.44,10.7,30.2,0.355,14.8,18.5,0.801,7.9,30.7,38.6,20.8,11.9,7.5,3.7,3.4,19.1,19.4,97.9,-2.9,2016-17,2016,Average,25.500000000000004,52.099999999999994,0.489,0.367,0.225,0.205,0.575,8.9,0.30000000000000027,0.29999999999999716
1610612743,Denver Nuggets,82,0.488,48.2,41.2,87.7,0.469,10.6,28.8,0.368,18.7,24.2,0.774,11.8,34.6,46.4,25.3,15.0,6.9,3.9,4.9,19.1,20.2,111.7,0.5,2016-17,2016,Average,30.6,58.900000000000006,0.52,0.328,0.276,0.254,0.614,10.3,-1.0000000000000004,1.0999999999999979
1610612765,Detroit Pistons,82,0.451,48.3,39.9,88.8,0.449,7.7,23.4,0.33,13.9,19.3,0.719,11.1,34.6,45.7,21.1,11.9,7.0,3.8,4.1,17.9,17.5,101.3,-1.1,2016-17,2016,Average,32.199999999999996,65.4,0.492,0.264,0.217,0.243,0.529,9.200000000000001,-0.2999999999999998,-0.3999999999999986
1610612744,Golden State Warriors,82,0.817,48.2,43.1,87.1,0.495,12.0,31.2,0.383,17.8,22.6,0.788,9.4,35.0,44.4,30.4,14.8,9.6,6.8,3.8,19.3,19.4,115.9,11.6,2016-17,2016,Successful,31.1,55.89999999999999,0.556,0.358,0.259,0.212,0.705,15.599999999999998,3.0,0.09999999999999787
1610612745,Houston Rockets,82,0.671,48.2,40.3,87.2,0.462,14.4,40.3,0.357,20.3,26.5,0.766,10.9,33.5,44.4,25.2,15.1,8.2,4.3,5.0,19.9,20.4,115.3,5.8,2016-17,2016,Successful,25.9,46.900000000000006,0.552,0.462,0.304,0.245,0.625,10.1,-0.7000000000000002,0.5
1610612754,Indiana Pacers,82,0.512,48.4,39.3,84.5,0.465,8.6,23.0,0.376,17.9,22.1,0.81,9.0,33.0,42.0,22.5,13.8,8.2,5.0,5.0,19.5,19.5,105.1,-0.2,2016-17,2016,Average,30.699999999999996,61.5,0.499,0.272,0.262,0.214,0.573,8.7,0.0,0.0
1610612746,LA Clippers,82,0.622,48.2,39.5,83.2,0.475,10.3,27.4,0.375,19.3,26.0,0.745,9.0,34.0,43.0,22.5,13.0,7.5,4.2,3.1,19.8,22.4,108.7,4.3,2016-17,2016,Successful,29.2,55.800000000000004,0.523,0.329,0.312,0.209,0.57,9.5,1.1,2.599999999999998
1610612747,Los Angeles Lakers,82,0.317,48.1,39.3,87.4,0.45,8.9,25.7,0.346,17.0,22.6,0.754,11.4,32.1,43.5,20.9,15.2,8.2,3.9,5.4,20.7,18.5,104.6,-6.9,2016-17,2016,Unsuccessful,30.4,61.7,0.493,0.294,0.259,0.262,0.532,5.699999999999999,-1.5000000000000004,-2.1999999999999993
1610612763,Memphis Grizzlies,82,0.524,48.5,36.4,83.6,0.435,9.4,26.5,0.354,18.3,23.4,0.784,10.8,32.0,42.8,21.3,12.9,8.0,4.2,5.0,22.4,20.8,100.5,0.5,2016-17,2016,Average,27.0,57.099999999999994,0.473,0.317,0.28,0.252,0.585,8.4,-0.7999999999999998,-1.5999999999999979
1610612748,Miami Heat,82,0.5,48.2,39.0,85.8,0.455,9.9,27.0,0.365,15.2,21.6,0.706,10.6,33.0,43.6,21.2,13.4,7.2,5.7,4.9,20.5,18.7,103.2,1.1,2016-17,2016,Average,29.1,58.8,0.495,0.315,0.252,0.243,0.544,7.799999999999999,0.7999999999999998,-1.8000000000000007
1610612749,Milwaukee Bucks,82,0.512,48.2,38.8,81.9,0.474,8.8,23.7,0.37,17.2,22.4,0.768,8.8,31.6,40.4,24.2,14.0,8.1,5.3,4.6,20.2,19.3,103.6,-0.2,2016-17,2016,Average,29.999999999999996,58.2,0.515,0.289,0.274,0.218,0.624,10.2,0.7000000000000002,-0.8999999999999986
1610612750,Minnesota Timberwolves,82,0.378,48.3,39.5,84.4,0.467,7.3,21.0,0.349,19.3,24.2,0.799,11.4,31.0,42.4,23.7,14.0,8.0,4.5,5.0,20.1,20.5,105.6,-1.1,2016-17,2016,Unsuccessful,32.2,63.400000000000006,0.508,0.249,0.287,0.269,0.6,9.7,-0.5,0.3999999999999986
